 | Episode: 0 | Train: 1.56400108337 | Gym: 409.498033047 | Batch: 0.866241455078 | Guide: 408.9041996
 | Episode: 1 | Train: 0.920777320862 | Gym: 260.640094757 | Batch: 0.57389831543 | Guide: 260.421923161
 | Episode: 2 | Train: 1.2198445797 | Gym: 294.746789455 | Batch: 0.770173311234 | Guide: 294.491206408
 | Episode: 3 | Train: 1.76188993454 | Gym: 397.053201199 | Batch: 1.09639406204 | Guide: 396.630090237
 | Episode: 4 | Train: 1.81141400337 | Gym: 457.376060963 | Batch: 1.13229656219 | Guide: 456.901335716
 | Episode: 5 | Train: 1.39207363129 | Gym: 347.439607382 | Batch: 0.863251447678 | Guide: 347.099945068
 | Episode: 6 | Train: 1.2310860157 | Gym: 333.698265314 | Batch: 0.789415597916 | Guide: 333.368117332
 | Episode: 7 | Train: 2.29992866516 | Gym: 588.762917995 | Batch: 1.47460889816 | Guide: 588.14693737
 | Episode: 8 | Train: 1.05548024178 | Gym: 220.926184893 | Batch: 0.683389663696 | Guide: 220.641090155
 | Episode: 9 | Train: 2.02752780914 | Gym: 484.615448475 | Batch: 1.29514241219 | Guide: 483.999114037
 | Episode: 10 | Train: 1.25181508064 | Gym: 416.189680815 | Batch: 0.824023962021 | Guide: 415.89119935
 | Episode: 11 | Train: 1.46853280067 | Gym: 279.971868277 | Batch: 0.944260597229 | Guide: 279.595227718
 | Episode: 12 | Train: 1.28572893143 | Gym: 317.385383844 | Batch: 0.817088365555 | Guide: 317.053275824
 | Episode: 13 | Train: 1.89722967148 | Gym: 475.852908134 | Batch: 1.19932341576 | Guide: 475.285466671
 | Episode: 14 | Train: 1.89846301079 | Gym: 376.373217821 | Batch: 1.21402812004 | Guide: 375.769519567
 | Episode: 15 | Train: 1.85380601883 | Gym: 452.107315302 | Batch: 1.17367100716 | Guide: 451.502619982
 | Episode: 16 | Train: 1.5816245079 | Gym: 368.897293568 | Batch: 1.02361726761 | Guide: 368.417289257
 | Episode: 17 | Train: 1.24006581306 | Gym: 314.292243004 | Batch: 0.822589635849 | Guide: 313.921191931
 | Episode: 18 | Train: 1.90126729012 | Gym: 577.413765907 | Batch: 1.22898554802 | Guide: 576.784676313
 | Episode: 19 | Train: 2.44941020012 | Gym: 486.368559122 | Batch: 1.56616425514 | Guide: 485.573678255
 | Episode: 20 | Train: 1.41549301147 | Gym: 252.307491779 | Batch: 0.822749376297 | Guide: 251.889279127
 | Episode: 21 | Train: 1.68140387535 | Gym: 334.031962156 | Batch: 1.05740475655 | Guide: 333.462466002
 | Episode: 22 | Train: 1.84715485573 | Gym: 549.420340538 | Batch: 1.17595148087 | Guide: 548.901039362
 | Episode: 23 | Train: 1.55882048607 | Gym: 308.922222137 | Batch: 1.00028681755 | Guide: 308.402885675
 | Episode: 24 | Train: 2.00945305824 | Gym: 348.329974174 | Batch: 1.27702856064 | Guide: 347.660856247
 | Episode: 25 | Train: 2.4884057045 | Gym: 664.104187727 | Batch: 1.57549548149 | Guide: 663.266102076
 | Episode: 26 | Train: 1.85530567169 | Gym: 506.927420378 | Batch: 1.1919426918 | Guide: 506.320017815
