| Reward: -8911 | Episode: 53 | Qmax: 61.34204598685523 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10360 | Episode: 54 | Qmax: 63.42237106720368 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10900 | Episode: 55 | Qmax: 64.81083200681019 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -9112 | Episode: 56 | Qmax: 64.66633963421971 | Exploration: 0.1968128 | Step: 878 | LR:0.0005
| Reward: -10432 | Episode: 57 | Qmax: 66.58867505744651 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -9298 | Episode: 58 | Qmax: 66.37980870942812 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10720 | Episode: 59 | Qmax: 68.85727509381893 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -6373 | Episode: 60 | Qmax: 70.36375430491832 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11647 | Episode: 61 | Qmax: 72.32785263887277 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10648 | Episode: 62 | Qmax: 72.33240100356552 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10612 | Episode: 63 | Qmax: 73.83511230489752 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -8830 | Episode: 64 | Qmax: 73.90781711744475 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10540 | Episode: 65 | Qmax: 75.2685512329365 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -8974 | Episode: 66 | Qmax: 76.37426976780515 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10225 | Episode: 67 | Qmax: 77.78363377840311 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11620 | Episode: 68 | Qmax: 78.70468289596779 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11440 | Episode: 69 | Qmax: 79.7765151824321 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10873 | Episode: 70 | Qmax: 80.14652743276294 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -9622 | Episode: 71 | Qmax: 81.69625697354297 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10585 | Episode: 72 | Qmax: 82.89177329070098 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10918 | Episode: 73 | Qmax: 83.33488308655488 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -7948 | Episode: 74 | Qmax: 84.86831105149186 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -9010 | Episode: 75 | Qmax: 86.43283026545375 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10810 | Episode: 76 | Qmax: 87.66859165274047 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11710 | Episode: 77 | Qmax: 88.36013602828598 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10900 | Episode: 78 | Qmax: 88.93850012990208 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -7192 | Episode: 79 | Qmax: 90.95532101506109 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -6787 | Episode: 80 | Qmax: 91.44583795450113 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11701 | Episode: 81 | Qmax: 93.0268737356942 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10900 | Episode: 82 | Qmax: 93.9790247715152 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -7507 | Episode: 83 | Qmax: 95.04301240661361 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -8452 | Episode: 84 | Qmax: 96.18324166327506 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11800 | Episode: 85 | Qmax: 96.86665369810405 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -12880 | Episode: 86 | Qmax: 97.8601655167741 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10621 | Episode: 87 | Qmax: 98.23536648144116 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11980 | Episode: 88 | Qmax: 99.32075375050037 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11233 | Episode: 89 | Qmax: 100.31906378233397 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -9793 | Episode: 90 | Qmax: 100.75299417841303 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10198 | Episode: 91 | Qmax: 102.7742569935811 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -5752 | Episode: 92 | Qmax: 103.4144902062249 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -8668 | Episode: 93 | Qmax: 103.84030826098926 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -3214 | Episode: 94 | Qmax: 105.2585364916048 | Exploration: 0.1952382976 | Step: 362 | LR:0.0005
| Reward: -7714 | Episode: 95 | Qmax: 106.0919412206243 | Exploration: 0.1952382976 | Step: 999 | LR:0.0005
| Reward: -11953 | Episode: 96 | Qmax: 106.68272309021668 | Exploration: 0.1952382976 | Step: 999 | LR:0.0005
| Reward: -11314 | Episode: 97 | Qmax: 107.21037785450856 | Exploration: 0.1952382976 | Step: 999 | LR:0.0005
| Reward: -11260 | Episode: 98 | Qmax: 107.78997555294552 | Exploration: 0.1952382976 | Step: 999 | LR:0.0005
| Reward: -6787 | Episode: 99 | Qmax: 108.51977969027377 | Exploration: 0.1952382976 | Step: 999 | LR:0.0005
| Reward: -9298 | Episode: 100 | Qmax: 109.01275543503098 | Exploration: 0.1952382976 | Step: 999 | LR:0.0005
| Reward: -7966 | Episode: 101 | Qmax: 109.52257444097235 | Exploration: 0.1952382976 | Step: 999 | LR:0.0005
| Reward: -11350 | Episode: 102 | Qmax: 109.90150867114673 | Exploration: 0.1952382976 | Step: 999 | LR:0.0005
| Reward: -11530 | Episode: 103 | Qmax: 110.1448211708107 | Exploration: 0.1952382976 | Step: 999 | LR:0.0005
| Reward: -8347 | Episode: 104 | Qmax: 110.89799602916952 | Exploration: 0.193676391219 | Step: 878 | LR:0.0005
| Reward: -5905 | Episode: 105 | Qmax: 111.38703539660266 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -5680 | Episode: 106 | Qmax: 112.04999136328101 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -7264 | Episode: 107 | Qmax: 112.94208620546816 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -11080 | Episode: 108 | Qmax: 113.33522149010582 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -10720 | Episode: 109 | Qmax: 113.75640348295073 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -12718 | Episode: 110 | Qmax: 113.83386227795789 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -10873 | Episode: 111 | Qmax: 114.3853205164393 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -6049 | Episode: 112 | Qmax: 114.18760455859913 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -10990 | Episode: 113 | Qmax: 114.54748355686009 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -10045 | Episode: 114 | Qmax: 115.00554385104098 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -11872 | Episode: 115 | Qmax: 115.73845852841367 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -9784 | Episode: 116 | Qmax: 115.80372481398635 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -7363 | Episode: 117 | Qmax: 116.58219981456065 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
