| Reward: -12808 | Episode: 0 | Qmax: 1.668934944767022 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -16120 | Episode: 1 | Qmax: -11.480260485643381 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12943 | Episode: 2 | Qmax: -21.220170494553084 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -15040 | Episode: 3 | Qmax: -26.65871922986524 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13780 | Episode: 4 | Qmax: -33.25467365711659 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -14230 | Episode: 5 | Qmax: -40.5373483243528 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -15661 | Episode: 6 | Qmax: -46.933024206915654 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -14860 | Episode: 7 | Qmax: -54.973195577168966 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -14320 | Episode: 8 | Qmax: -60.785319071512916 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -14950 | Episode: 9 | Qmax: -67.15993600946527 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12430 | Episode: 10 | Qmax: -73.62144351840854 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11890 | Episode: 11 | Qmax: -78.5598843816045 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -8335 | Episode: 12 | Qmax: -82.96125346690685 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13969 | Episode: 13 | Qmax: -87.07231705277054 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12016 | Episode: 14 | Qmax: -90.80511709066243 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11980 | Episode: 15 | Qmax: -95.09909899981768 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11080 | Episode: 16 | Qmax: -98.21832658005906 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10810 | Episode: 17 | Qmax: -101.45241480952387 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12340 | Episode: 18 | Qmax: -104.17280133374341 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10990 | Episode: 19 | Qmax: -106.53068802903245 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12070 | Episode: 20 | Qmax: -109.0661600015543 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12970 | Episode: 21 | Qmax: -112.67585715445671 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12700 | Episode: 22 | Qmax: -113.9214853891978 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11890 | Episode: 23 | Qmax: -117.02604056693413 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12250 | Episode: 24 | Qmax: -120.89296070209613 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12142 | Episode: 25 | Qmax: -125.07822721403043 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11593 | Episode: 26 | Qmax: -126.63144287475953 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10774 | Episode: 27 | Qmax: -129.03401989025159 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13150 | Episode: 28 | Qmax: -127.46471430231502 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13717 | Episode: 29 | Qmax: -129.77473765116434 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -7579 | Episode: 30 | Qmax: -128.91192837735196 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -9928 | Episode: 31 | Qmax: -125.79439847486036 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13564 | Episode: 32 | Qmax: -123.67766332769537 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11890 | Episode: 33 | Qmax: -123.63594720743082 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10972 | Episode: 34 | Qmax: -121.51060359446971 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -14320 | Episode: 35 | Qmax: -118.62379906914971 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12790 | Episode: 36 | Qmax: -119.48217039136915 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13690 | Episode: 37 | Qmax: -121.34556404701821 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13078 | Episode: 38 | Qmax: -120.39719582176781 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12835 | Episode: 39 | Qmax: -118.76086024837093 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12340 | Episode: 40 | Qmax: -114.8027040827143 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -7417 | Episode: 41 | Qmax: -110.69611004284313 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13420 | Episode: 42 | Qmax: -104.97368083224521 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13780 | Episode: 43 | Qmax: -108.38040348621938 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13690 | Episode: 44 | Qmax: -99.28170887104145 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -15490 | Episode: 45 | Qmax: -102.905727359745 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11665 | Episode: 46 | Qmax: -102.0780829333209 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -8974 | Episode: 47 | Qmax: -95.95086610162103 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13897 | Episode: 48 | Qmax: -96.21163580534575 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10162 | Episode: 49 | Qmax: -90.73378166183457 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13960 | Episode: 50 | Qmax: -86.27500031684134 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -8939 | Episode: 51 | Qmax: -84.99998119610359 | Exploration: 0.686 | Step: 849 | LR:0.0015
| Reward: -14770 | Episode: 52 | Qmax: -82.2986867974351 | Exploration: 0.686 | Step: 999 | LR:0.0015
| Reward: -14680 | Episode: 53 | Qmax: -76.04407120037365 | Exploration: 0.686 | Step: 999 | LR:0.0015
| Reward: -9956 | Episode: 54 | Qmax: -78.36890593248879 | Exploration: 0.67228 | Step: 939 | LR:0.0015
| Reward: -13708 | Episode: 55 | Qmax: -71.2243344033206 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -8749 | Episode: 56 | Qmax: -69.68193760193563 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -10981 | Episode: 57 | Qmax: -57.80899883214537 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -12313 | Episode: 58 | Qmax: -57.32808675894419 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -13987 | Episode: 59 | Qmax: -50.28462093018435 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -9523 | Episode: 60 | Qmax: -47.545834392920746 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -10981 | Episode: 61 | Qmax: -38.67265826290673 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -11287 | Episode: 62 | Qmax: -33.676429197492844 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -12124 | Episode: 63 | Qmax: -31.793319403336525 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -10405 | Episode: 64 | Qmax: -23.934337123388982 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -14500 | Episode: 65 | Qmax: -20.476911596272156 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -8650 | Episode: 66 | Qmax: -17.390084194819313 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -16120 | Episode: 67 | Qmax: -11.978248413391617 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -14860 | Episode: 68 | Qmax: -15.468058332036415 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -15400 | Episode: 69 | Qmax: -11.842921281629172 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -15580 | Episode: 70 | Qmax: -13.823966595036602 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -15400 | Episode: 71 | Qmax: -12.123304327496806 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -16570 | Episode: 72 | Qmax: -11.693357988244838 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -9883 | Episode: 73 | Qmax: -10.046938802207912 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -13510 | Episode: 74 | Qmax: -3.903385831056176 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -13127 | Episode: 75 | Qmax: -3.3139604816800907 | Exploration: 0.6588344 | Step: 897 | LR:0.0015
| Reward: -11188 | Episode: 76 | Qmax: 1.4530673042252973 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -15670 | Episode: 77 | Qmax: 3.7167590421506085 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -15760 | Episode: 78 | Qmax: 6.909036148924966 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -9730 | Episode: 79 | Qmax: 9.625769257724464 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -11197 | Episode: 80 | Qmax: 16.25461027047059 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -13240 | Episode: 81 | Qmax: 19.618979408456994 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -12304 | Episode: 82 | Qmax: 25.098424205073602 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -8245 | Episode: 83 | Qmax: 30.493745323177333 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -12547 | Episode: 84 | Qmax: 29.813552653109348 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -14680 | Episode: 85 | Qmax: 34.03543247952237 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -8731 | Episode: 86 | Qmax: 34.10483818607884 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -11647 | Episode: 87 | Qmax: 36.4331915705531 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -12790 | Episode: 88 | Qmax: 37.696828805887186 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -13870 | Episode: 89 | Qmax: 41.025302232087434 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -14410 | Episode: 90 | Qmax: 41.25810071393415 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -12502 | Episode: 91 | Qmax: 45.98829961133313 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -12880 | Episode: 92 | Qmax: 48.26651217868259 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -14500 | Episode: 93 | Qmax: 44.77810793428927 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -15220 | Episode: 94 | Qmax: 48.91161324670007 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -6940 | Episode: 95 | Qmax: 50.26316190887619 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -14410 | Episode: 96 | Qmax: 50.37340889511643 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -14680 | Episode: 97 | Qmax: 53.42741821048496 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -7660 | Episode: 98 | Qmax: 53.96654839272256 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -14500 | Episode: 99 | Qmax: 56.227089066643856 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -9037 | Episode: 100 | Qmax: 56.23042329820665 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -10846 | Episode: 101 | Qmax: 56.71683023068998 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -12610 | Episode: 102 | Qmax: 58.720350885892415 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -9649 | Episode: 103 | Qmax: 58.591744110957755 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -12907 | Episode: 104 | Qmax: 59.70054104397664 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -14365 | Episode: 105 | Qmax: 59.89907872927439 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -8740 | Episode: 106 | Qmax: 61.122464349533004 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -13195 | Episode: 107 | Qmax: 61.10004237846092 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -9496 | Episode: 108 | Qmax: 61.908978912565445 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -9992 | Episode: 109 | Qmax: 62.29000079451731 | Exploration: 0.645657712 | Step: 993 | LR:0.0015
| Reward: -11638 | Episode: 110 | Qmax: 63.36269984445772 | Exploration: 0.645657712 | Step: 999 | LR:0.0015
| Reward: -6121 | Episode: 111 | Qmax: 64.4259457643087 | Exploration: 0.645657712 | Step: 999 | LR:0.0015
| Reward: -10757 | Episode: 112 | Qmax: 64.11511706664592 | Exploration: 0.63274455776 | Step: 948 | LR:0.0015
| Reward: -12520 | Episode: 113 | Qmax: 65.13631937358234 | Exploration: 0.63274455776 | Step: 999 | LR:0.0015
| Reward: -7217 | Episode: 114 | Qmax: 66.15293162275972 | Exploration: 0.620089666605 | Step: 873 | LR:0.0015
| Reward: -13420 | Episode: 115 | Qmax: 68.20063789136655 | Exploration: 0.620089666605 | Step: 999 | LR:0.0015
| Reward: -5397 | Episode: 116 | Qmax: 68.40290565445453 | Exploration: 0.607687873273 | Step: 790 | LR:0.0015
| Reward: -6129 | Episode: 117 | Qmax: 71.16048596594483 | Exploration: 0.595534115807 | Step: 640 | LR:0.0015
| Reward: -7930 | Episode: 118 | Qmax: 72.60661467560777 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -9469 | Episode: 119 | Qmax: 74.06272057083633 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -9996 | Episode: 120 | Qmax: 78.09339942693958 | Exploration: 0.583623433491 | Step: 961 | LR:0.0015
