| Reward: -6085 | Episode: 51 | Qmax: 23.28819838706199 | Exploration: 0.538315672482 | Step: 999 | LR:0.0015
| Reward: -6976 | Episode: 52 | Qmax: 24.005878605045474 | Exploration: 0.538315672482 | Step: 999 | LR:0.0015
| Reward: -9532 | Episode: 53 | Qmax: 25.330687286140204 | Exploration: 0.538315672482 | Step: 999 | LR:0.0015
| Reward: -6346 | Episode: 54 | Qmax: 26.2547689510418 | Exploration: 0.538315672482 | Step: 999 | LR:0.0015
| Reward: -4411 | Episode: 55 | Qmax: 27.47572185852387 | Exploration: 0.538315672482 | Step: 999 | LR:0.0015
| Reward: -2906 | Episode: 56 | Qmax: 28.642006391167424 | Exploration: 0.527549359032 | Step: 549 | LR:0.0015
| Reward: -4529 | Episode: 57 | Qmax: 28.639525553626473 | Exploration: 0.516998371852 | Step: 633 | LR:0.0015
| Reward: -2161 | Episode: 58 | Qmax: 29.190976894354517 | Exploration: 0.506658404415 | Step: 632 | LR:0.0015
| Reward: -2545 | Episode: 59 | Qmax: 30.03700826919242 | Exploration: 0.496525236326 | Step: 584 | LR:0.0015
| Reward: -2461 | Episode: 60 | Qmax: 30.494751287930047 | Exploration: 0.4865947316 | Step: 536 | LR:0.0015
| Reward: -1246 | Episode: 61 | Qmax: 31.145881401865108 | Exploration: 0.476862836968 | Step: 266 | LR:0.0015
| Reward: -1447 | Episode: 62 | Qmax: 29.95685988664627 | Exploration: 0.467325580229 | Step: 224 | LR:0.0015
| Reward: -2175 | Episode: 63 | Qmax: 33.127791548327586 | Exploration: 0.457979068624 | Step: 259 | LR:0.0015
| Reward: -1650 | Episode: 64 | Qmax: 32.14053695916422 | Exploration: 0.448819487252 | Step: 337 | LR:0.0015
| Reward: -1697 | Episode: 65 | Qmax: 31.966952674832694 | Exploration: 0.439843097506 | Step: 231 | LR:0.0015
| Reward: -1748 | Episode: 66 | Qmax: 33.07842113820646 | Exploration: 0.431046235556 | Step: 363 | LR:0.0015
| Reward: -2481 | Episode: 67 | Qmax: 33.086179306927846 | Exploration: 0.422425310845 | Step: 340 | LR:0.0015
| Reward: -916 | Episode: 68 | Qmax: 34.46993662890266 | Exploration: 0.413976804628 | Step: 170 | LR:0.0015
| Reward: -2272 | Episode: 69 | Qmax: 36.59559171300539 | Exploration: 0.405697268536 | Step: 284 | LR:0.0015
| Reward: -1430 | Episode: 70 | Qmax: 37.08509534200032 | Exploration: 0.397583323165 | Step: 225 | LR:0.0015
| Reward: -1045 | Episode: 71 | Qmax: 39.725139141082764 | Exploration: 0.389631656702 | Step: 164 | LR:0.0015
| Reward: -1117 | Episode: 72 | Qmax: 37.803984746978614 | Exploration: 0.381839023568 | Step: 209 | LR:0.0015
| Reward: -1245 | Episode: 73 | Qmax: 37.959745881470994 | Exploration: 0.374202243096 | Step: 193 | LR:0.0015
| Reward: -1939 | Episode: 74 | Qmax: 37.800384493941436 | Exploration: 0.366718198234 | Step: 554 | LR:0.0015
| Reward: -1837 | Episode: 75 | Qmax: 38.129208689790154 | Exploration: 0.35938383427 | Step: 389 | LR:0.0015
| Reward: -1044 | Episode: 76 | Qmax: 41.121141269894466 | Exploration: 0.352196157584 | Step: 163 | LR:0.0015
| Reward: -1409 | Episode: 77 | Qmax: 42.784190861384076 | Exploration: 0.345152234433 | Step: 240 | LR:0.0015
| Reward: -1588 | Episode: 78 | Qmax: 40.802960061567006 | Exploration: 0.338249189744 | Step: 311 | LR:0.0015
| Reward: -2138 | Episode: 79 | Qmax: 43.80189292110614 | Exploration: 0.331484205949 | Step: 402 | LR:0.0015
