 | Episode: 0 | Train: 1.69063186646 | Gym: 127.091725111 | Batch: 0.992065906525 | Guide: 126.479699135
 | Episode: 1 | Train: 1.71681046486 | Gym: 115.772455215 | Batch: 1.09719848633 | Guide: 115.273871183
 | Episode: 2 | Train: 1.71614670753 | Gym: 121.404579878 | Batch: 1.13029909134 | Guide: 120.973946571
 | Episode: 3 | Train: 1.71269178391 | Gym: 138.908676863 | Batch: 1.14617204666 | Guide: 138.522846699
 | Episode: 4 | Train: 1.71182799339 | Gym: 123.876263142 | Batch: 1.12170910835 | Guide: 123.405790806
 | Episode: 5 | Train: 1.70725083351 | Gym: 127.782590866 | Batch: 1.12693715096 | Guide: 127.317204952
 | Episode: 6 | Train: 1.71395611763 | Gym: 135.766337872 | Batch: 1.15406680107 | Guide: 135.358189821
 | Episode: 7 | Train: 1.7084338665 | Gym: 116.553439379 | Batch: 1.13144135475 | Guide: 116.088137388
 | Episode: 8 | Train: 1.7029440403 | Gym: 107.179040909 | Batch: 1.12830352783 | Guide: 106.719139099
 | Episode: 9 | Train: 1.69852972031 | Gym: 115.266238928 | Batch: 1.10107111931 | Guide: 114.807608604
 | Episode: 10 | Train: 1.69870686531 | Gym: 119.364115953 | Batch: 1.09742593765 | Guide: 118.900695801
 | Episode: 11 | Train: 1.7043864727 | Gym: 115.745371819 | Batch: 1.10831308365 | Guide: 115.293772221
 | Episode: 12 | Train: 1.69577312469 | Gym: 127.356181145 | Batch: 1.11405873299 | Guide: 126.922956467
