| Reward: -2391 | Episode: 0 | Qmax: 37.05823931200751 | Exploration: 0.196 | Step: 232 | LR:0.0015
| Reward: -2834 | Episode: 1 | Qmax: 341.5252263508146 | Exploration: 0.19208 | Step: 252 | LR:0.0015
| Reward: -3428 | Episode: 2 | Qmax: 362.10755956373634 | Exploration: 0.1882384 | Step: 297 | LR:0.0015
| Reward: -2503 | Episode: 3 | Qmax: 363.5348461746076 | Exploration: 0.184473632 | Step: 218 | LR:0.0015
| Reward: -4447 | Episode: 4 | Qmax: 362.7943040271138 | Exploration: 0.18078415936 | Step: 344 | LR:0.0015
| Reward: -2456 | Episode: 5 | Qmax: 368.8144441855074 | Exploration: 0.177168476173 | Step: 198 | LR:0.0015
| Reward: -2555 | Episode: 6 | Qmax: 374.0041692824591 | Exploration: 0.173625106649 | Step: 189 | LR:0.0015
| Reward: -3285 | Episode: 7 | Qmax: 373.6136194414797 | Exploration: 0.170152604516 | Step: 226 | LR:0.0015
| Reward: -3644 | Episode: 8 | Qmax: 369.5260479639447 | Exploration: 0.166749552426 | Step: 315 | LR:0.0015
| Reward: -2911 | Episode: 9 | Qmax: 370.2705078125 | Exploration: 0.163414561378 | Step: 311 | LR:0.0015
| Reward: -4224 | Episode: 10 | Qmax: 372.4883619393342 | Exploration: 0.16014627015 | Step: 427 | LR:0.0015
| Reward: -2384 | Episode: 11 | Qmax: 374.6149358598013 | Exploration: 0.156943344747 | Step: 252 | LR:0.0015
| Reward: -4650 | Episode: 12 | Qmax: 379.3486816314052 | Exploration: 0.153804477852 | Step: 331 | LR:0.0015
| Reward: -2299 | Episode: 13 | Qmax: 381.9786553460198 | Exploration: 0.150728388295 | Step: 185 | LR:0.0015
| Reward: -3373 | Episode: 14 | Qmax: 384.60987875959 | Exploration: 0.147713820529 | Step: 278 | LR:0.0015
| Reward: -2913 | Episode: 15 | Qmax: 384.5742785580508 | Exploration: 0.144759544118 | Step: 286 | LR:0.0015
| Reward: -2298 | Episode: 16 | Qmax: 391.88293346345733 | Exploration: 0.141864353236 | Step: 193 | LR:0.0015
| Reward: -4290 | Episode: 17 | Qmax: 392.18752259093446 | Exploration: 0.139027066171 | Step: 385 | LR:0.0015
| Reward: -1627 | Episode: 18 | Qmax: 406.86736022639394 | Exploration: 0.136246524848 | Step: 197 | LR:0.0015
| Reward: -2567 | Episode: 19 | Qmax: 409.8208783097252 | Exploration: 0.133521594351 | Step: 309 | LR:0.0015
| Reward: -3727 | Episode: 20 | Qmax: 407.6380781285903 | Exploration: 0.130851162464 | Step: 272 | LR:0.0015
| Reward: -2215 | Episode: 21 | Qmax: 418.27782181562003 | Exploration: 0.128234139215 | Step: 236 | LR:0.0015
| Reward: -3085 | Episode: 22 | Qmax: 418.4701728502024 | Exploration: 0.12566945643 | Step: 359 | LR:0.0015
| Reward: -4408 | Episode: 23 | Qmax: 421.15546366591525 | Exploration: 0.123156067302 | Step: 467 | LR:0.0015
| Reward: -3387 | Episode: 24 | Qmax: 425.5404265714194 | Exploration: 0.120692945956 | Step: 427 | LR:0.0015
| Reward: -2516 | Episode: 25 | Qmax: 431.9531988846628 | Exploration: 0.118279087037 | Step: 285 | LR:0.0015
| Reward: -1340 | Episode: 26 | Qmax: 432.4577847233525 | Exploration: 0.115913505296 | Step: 216 | LR:0.0015
| Reward: -3557 | Episode: 27 | Qmax: 428.86230014898837 | Exploration: 0.11359523519 | Step: 390 | LR:0.0015
| Reward: -3124 | Episode: 28 | Qmax: 431.280029526907 | Exploration: 0.111323330486 | Step: 398 | LR:0.0015
| Reward: -2426 | Episode: 29 | Qmax: 434.60712116267405 | Exploration: 0.109096863876 | Step: 294 | LR:0.0015
| Reward: -1842 | Episode: 30 | Qmax: 435.61557786881656 | Exploration: 0.106914926599 | Step: 223 | LR:0.0015
