 | Episode: 0 | Train: 2.05724334717 | Gym: 81.4105408192 | Batch: 1.20173835754 | Guide: 80.8695542812
 | Episode: 1 | Train: 1.67633271217 | Gym: 79.4731225967 | Batch: 1.02644705772 | Guide: 78.9747872353
 | Episode: 2 | Train: 1.64460492134 | Gym: 76.7514975071 | Batch: 0.999625444412 | Guide: 76.2665343285
 | Episode: 3 | Train: 1.60896778107 | Gym: 75.0336873531 | Batch: 0.942279577255 | Guide: 74.5038924217
 | Episode: 4 | Train: 1.62660622597 | Gym: 77.7956726551 | Batch: 0.966485023499 | Guide: 77.3077480793
 | Episode: 5 | Train: 1.6062297821 | Gym: 80.1903133392 | Batch: 0.973022460938 | Guide: 79.7243506908
 | Episode: 6 | Train: 1.6402182579 | Gym: 79.6130394936 | Batch: 1.00071644783 | Guide: 79.168040514
 | Episode: 7 | Train: 1.62222671509 | Gym: 72.6168065071 | Batch: 0.965036392212 | Guide: 72.1192483902
 | Episode: 8 | Train: 1.62580609322 | Gym: 79.2516608238 | Batch: 0.976847648621 | Guide: 78.7945930958
 | Episode: 9 | Train: 1.63883590698 | Gym: 83.7419579029 | Batch: 0.999400615692 | Guide: 83.2495849133
 | Episode: 10 | Train: 1.66166162491 | Gym: 76.4915258884 | Batch: 1.00391769409 | Guide: 76.0086491108
 | Episode: 11 | Train: 1.64528560638 | Gym: 71.0020606518 | Batch: 0.992197751999 | Guide: 70.513589859
 | Episode: 12 | Train: 1.63328266144 | Gym: 73.3821585178 | Batch: 0.987722635269 | Guide: 72.8643631935
