| Reward: 61 | Episode: 0 | Qmax: 0.0 | Exploration: 0.672 | Step: 39 | LearningRate: 0.00147
| Reward: 57 | Episode: 1 | Qmax: 13.27992514676826 | Exploration: 0.64512 | Step: 43 | LearningRate: 0.0014406
| Reward: 43 | Episode: 2 | Qmax: 32.52274399472956 | Exploration: 0.6193152 | Step: 57 | LearningRate: 0.0014117882
| Reward: 9 | Episode: 3 | Qmax: 39.490814963539876 | Exploration: 0.594542592 | Step: 91 | LearningRate: 0.0013835524
| Reward: 33 | Episode: 4 | Qmax: 35.64642194491714 | Exploration: 0.57076088832 | Step: 67 | LearningRate: 0.0013558815
| Reward: 53 | Episode: 5 | Qmax: 37.511953353881836 | Exploration: 0.547930452787 | Step: 47 | LearningRate: 0.0013287639
| Reward: 58 | Episode: 6 | Qmax: 40.9411814553397 | Exploration: 0.526013234676 | Step: 42 | LearningRate: 0.0013021886
| Reward: 35 | Episode: 7 | Qmax: 44.74565599881686 | Exploration: 0.504972705289 | Step: 65 | LearningRate: 0.0012761449
| Reward: 30 | Episode: 8 | Qmax: 49.786199406215125 | Exploration: 0.484773797077 | Step: 70 | LearningRate: 0.0012506221
| Reward: 42 | Episode: 9 | Qmax: 57.997176729399584 | Exploration: 0.465382845194 | Step: 58 | LearningRate: 0.0012256097
| Reward: -516 | Episode: 10 | Qmax: 51.275672590577756 | Exploration: 0.446767531386 | Step: 616 | LearningRate: 0.0012256097
| Reward: -12 | Episode: 11 | Qmax: 46.00063266072954 | Exploration: 0.428896830131 | Step: 112 | LearningRate: 0.0012010975
| Reward: -20 | Episode: 12 | Qmax: 41.58057548205058 | Exploration: 0.411740956926 | Step: 120 | LearningRate: 0.0011770756
| Reward: -165 | Episode: 13 | Qmax: 44.1790875992685 | Exploration: 0.395271318649 | Step: 265 | LearningRate: 0.001153534
| Reward: -782 | Episode: 14 | Qmax: 42.90657949123253 | Exploration: 0.379460465903 | Step: 882 | LearningRate: 0.001153534
| Reward: -644 | Episode: 15 | Qmax: 41.06295319013698 | Exploration: 0.364282047267 | Step: 744 | LearningRate: 0.001153534
| Reward: -218 | Episode: 16 | Qmax: 40.33853741411893 | Exploration: 0.349710765376 | Step: 318 | LearningRate: 0.001153534
| Reward: -869 | Episode: 17 | Qmax: 41.556423088837455 | Exploration: 0.335722334761 | Step: 969 | LearningRate: 0.001153534
| Reward: -1507 | Episode: 18 | Qmax: 38.00167671967977 | Exploration: 0.32229344137 | Step: 1607 | LearningRate: 0.001153534
| Reward: -2000 | Episode: 19 | Qmax: 37.685484499261044 | Exploration: 0.32229344137 | Step: 1999 | LearningRate: 0.001153534
| Reward: -2000 | Episode: 20 | Qmax: 36.48944165171117 | Exploration: 0.32229344137 | Step: 1999 | LearningRate: 0.001153534
| Reward: -2000 | Episode: 21 | Qmax: 35.90706735947777 | Exploration: 0.32229344137 | Step: 1999 | LearningRate: 0.001153534
| Reward: -2000 | Episode: 22 | Qmax: 35.35304690385354 | Exploration: 0.32229344137 | Step: 1999 | LearningRate: 0.001153534
