| Reward: -2180 | Episode: 0 | Qmax: 8.30068559742453 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -3080 | Episode: 1 | Qmax: 21.439204977984403 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 2 | Qmax: 28.380376796626564 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -3080 | Episode: 3 | Qmax: 28.868806053046605 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 4 | Qmax: 28.424145540400367 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 5 | Qmax: 30.15926949582507 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 6 | Qmax: 30.521255924474055 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 7 | Qmax: 30.68632637675683 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 8 | Qmax: 29.061087363928408 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 9 | Qmax: 25.52417814072652 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 10 | Qmax: 23.06733809044613 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 11 | Qmax: 20.17009674724023 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 12 | Qmax: 17.315512412756533 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 13 | Qmax: 14.807511667510372 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 14 | Qmax: 11.562271019921232 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 15 | Qmax: 8.912797221586333 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 16 | Qmax: 5.904346168939791 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 17 | Qmax: 3.385859252941144 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 18 | Qmax: 0.6163896691573587 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 19 | Qmax: -1.4275033480754524 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 20 | Qmax: -4.732079485927395 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 21 | Qmax: -5.45908210440609 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 22 | Qmax: -9.472290453599326 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 23 | Qmax: -10.48163769985713 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 24 | Qmax: -11.583937235214004 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 25 | Qmax: -14.093499602983945 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 26 | Qmax: -17.532392132821396 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 27 | Qmax: -19.621261299555027 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 28 | Qmax: -21.672038207701103 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 29 | Qmax: -24.717284207368017 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 30 | Qmax: -25.78832665639906 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 31 | Qmax: -27.255138732680123 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 32 | Qmax: -30.286604473938294 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 33 | Qmax: -31.25786967253565 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 34 | Qmax: -33.4842361373518 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -1870 | Episode: 35 | Qmax: -35.94262162324424 | Exploration: 0.686 | Step: 107 | LR:0.0015
| Reward: -1910 | Episode: 36 | Qmax: -36.22598171234131 | Exploration: 0.67228 | Step: 192 | LR:0.0015
| Reward: -2630 | Episode: 37 | Qmax: -38.61175070336117 | Exploration: 0.67228 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 38 | Qmax: -40.01039332480886 | Exploration: 0.67228 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 39 | Qmax: -42.30418382577561 | Exploration: 0.67228 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 40 | Qmax: -44.26033980403114 | Exploration: 0.67228 | Step: 199 | LR:0.0015
| Reward: -2340 | Episode: 41 | Qmax: -46.566884122302184 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 42 | Qmax: -48.07377051348662 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 43 | Qmax: -49.500996000203656 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 44 | Qmax: -52.23823211899954 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 45 | Qmax: -54.10007676167704 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 46 | Qmax: -55.920127542773685 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2900 | Episode: 47 | Qmax: -57.9574105919306 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 48 | Qmax: -59.44304306183628 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 49 | Qmax: -61.579182878810556 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 50 | Qmax: -63.56197245995603 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 51 | Qmax: -65.58191506467273 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 52 | Qmax: -67.1956399505462 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 53 | Qmax: -68.45221750460678 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 54 | Qmax: -69.85316940767682 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 55 | Qmax: -72.4177018362074 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 56 | Qmax: -74.1798299664828 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 57 | Qmax: -75.1031045290693 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 58 | Qmax: -77.28978586436516 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 59 | Qmax: -79.9089448440015 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 60 | Qmax: -81.62006899579686 | Exploration: 0.6588344 | Step: 199 | LR:0.0015
| Reward: -1210 | Episode: 61 | Qmax: -83.62427787443178 | Exploration: 0.645657712 | Step: 113 | LR:0.0015
| Reward: -2180 | Episode: 62 | Qmax: -82.32694111876751 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 63 | Qmax: -84.77548548444432 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 64 | Qmax: -87.8735880827784 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 65 | Qmax: -87.13638309737546 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 66 | Qmax: -90.68462901858229 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 67 | Qmax: -93.52464840759583 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 68 | Qmax: -92.67270345064863 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 69 | Qmax: -95.38678657589246 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 70 | Qmax: -96.59357654149808 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 71 | Qmax: -100.3685711807941 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 72 | Qmax: -102.40333998023566 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 73 | Qmax: -103.28817078576016 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 74 | Qmax: -104.3181750235246 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 75 | Qmax: -107.21000745188651 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 76 | Qmax: -107.76752204511632 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 77 | Qmax: -107.34129965125616 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 78 | Qmax: -109.54877461500503 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 79 | Qmax: -107.706580243518 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 80 | Qmax: -115.27165587006802 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 81 | Qmax: -115.35091787367011 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 82 | Qmax: -113.90994265570713 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 83 | Qmax: -116.66762078003069 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 84 | Qmax: -122.34199481274015 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 85 | Qmax: -119.50647635915172 | Exploration: 0.645657712 | Step: 199 | LR:0.0015
