 | Episode: 0 | Train: 0.715917110443 | Gym: 12.8436067104 | Batch: 0.364512205124 | Guide: 12.5755550861
 | Episode: 1 | Train: 0.835447311401 | Gym: 13.4380965233 | Batch: 0.519723415375 | Guide: 13.3114376068
 | Episode: 2 | Train: 0.802954912186 | Gym: 13.448482275 | Batch: 0.50230884552 | Guide: 13.3153378963
 | Episode: 3 | Train: 0.808294773102 | Gym: 13.1644706726 | Batch: 0.523928642273 | Guide: 13.0481579304
 | Episode: 4 | Train: 0.822322368622 | Gym: 12.6210916042 | Batch: 0.517516613007 | Guide: 12.5046138763
 | Episode: 5 | Train: 0.804925918579 | Gym: 10.5336313248 | Batch: 0.506544351578 | Guide: 10.3957271576
 | Episode: 6 | Train: 0.820040941238 | Gym: 13.6404259205 | Batch: 0.529932975769 | Guide: 13.5285415649
 | Episode: 7 | Train: 0.812932014465 | Gym: 13.5199048519 | Batch: 0.5356092453 | Guide: 13.4097173214
 | Episode: 8 | Train: 0.802129507065 | Gym: 12.4232928753 | Batch: 0.510576486588 | Guide: 12.2874672413
 | Episode: 9 | Train: 0.802636384964 | Gym: 14.1377687454 | Batch: 0.534345388412 | Guide: 14.0345880985
 | Episode: 10 | Train: 0.814193487167 | Gym: 12.6208322048 | Batch: 0.515488386154 | Guide: 12.5098552704
 | Episode: 11 | Train: 0.803162336349 | Gym: 12.6269211769 | Batch: 0.524832963943 | Guide: 12.5127632618
 | Episode: 12 | Train: 0.801471471786 | Gym: 14.786864996 | Batch: 0.529281616211 | Guide: 14.6708612442
 | Episode: 13 | Train: 0.811237812042 | Gym: 12.5331749916 | Batch: 0.518225431442 | Guide: 12.4072275162
 | Episode: 14 | Train: 0.792373895645 | Gym: 12.2897722721 | Batch: 0.509529352188 | Guide: 12.1672787666
 | Episode: 15 | Train: 0.793543577194 | Gym: 10.6756608486 | Batch: 0.507858753204 | Guide: 10.5329289436
 | Episode: 16 | Train: 0.787182569504 | Gym: 13.0053915977 | Batch: 0.513062953949 | Guide: 12.8916394711
 | Episode: 17 | Train: 0.797554016113 | Gym: 12.6258811951 | Batch: 0.524004459381 | Guide: 12.4977407455
 | Episode: 18 | Train: 0.80218911171 | Gym: 11.4621372223 | Batch: 0.522015571594 | Guide: 11.3403584957
 | Episode: 19 | Train: 0.797359466553 | Gym: 10.556217432 | Batch: 0.510526180267 | Guide: 10.4292798042
 | Episode: 20 | Train: 0.853070497513 | Gym: 11.2846097946 | Batch: 0.514298439026 | Guide: 11.1715297699
 | Episode: 21 | Train: 0.810631036758 | Gym: 13.1824157238 | Batch: 0.528971910477 | Guide: 13.0745432377
 | Episode: 22 | Train: 0.791896343231 | Gym: 15.1079337597 | Batch: 0.523923635483 | Guide: 14.9978790283
 | Episode: 23 | Train: 0.792209863663 | Gym: 10.9801781178 | Batch: 0.51696062088 | Guide: 10.8290929794
 | Episode: 24 | Train: 0.796004056931 | Gym: 12.1170752048 | Batch: 0.52969288826 | Guide: 12.0034809113
 | Episode: 25 | Train: 0.801685810089 | Gym: 12.2374632359 | Batch: 0.52214050293 | Guide: 12.115352869
 | Episode: 26 | Train: 0.807183265686 | Gym: 12.6614553928 | Batch: 0.526586294174 | Guide: 12.5448756218
 | Episode: 27 | Train: 0.809609889984 | Gym: 13.2872655392 | Batch: 0.5212059021 | Guide: 13.1593401432
 | Episode: 28 | Train: 0.793931722641 | Gym: 12.5438601971 | Batch: 0.525108337402 | Guide: 12.4145178795
 | Episode: 29 | Train: 0.792508363724 | Gym: 11.9789636135 | Batch: 0.527162790298 | Guide: 11.8506247997
 | Episode: 30 | Train: 0.799579620361 | Gym: 10.4392626286 | Batch: 0.511232376099 | Guide: 10.3177990913
 | Episode: 31 | Train: 0.790701389313 | Gym: 13.067232132 | Batch: 0.522970438004 | Guide: 12.9558088779
 | Episode: 32 | Train: 0.793425798416 | Gym: 12.8995420933 | Batch: 0.524638175964 | Guide: 12.7885396481
 | Episode: 33 | Train: 0.798094272614 | Gym: 11.5449242592 | Batch: 0.52392077446 | Guide: 11.4149551392
 | Episode: 34 | Train: 0.791309356689 | Gym: 12.8434081078 | Batch: 0.516426801682 | Guide: 12.7240281105
 | Episode: 35 | Train: 0.802185297012 | Gym: 11.8344802856 | Batch: 0.52866101265 | Guide: 11.7130105495
 | Episode: 36 | Train: 0.8011033535 | Gym: 12.5579936504 | Batch: 0.515209674835 | Guide: 12.4230570793
 | Episode: 37 | Train: 0.795078992844 | Gym: 12.8836567402 | Batch: 0.52139377594 | Guide: 12.7693276405
 | Episode: 38 | Train: 0.806406021118 | Gym: 13.2033920288 | Batch: 0.521070718765 | Guide: 13.0886874199
 | Episode: 39 | Train: 0.800043344498 | Gym: 12.0180795193 | Batch: 0.530142784119 | Guide: 11.9023888111
 | Episode: 40 | Train: 0.892458200455 | Gym: 12.5823626518 | Batch: 0.54981637001 | Guide: 12.4574520588
 | Episode: 41 | Train: 0.80793261528 | Gym: 12.546289444 | Batch: 0.522132873535 | Guide: 12.4230704308
 | Episode: 42 | Train: 0.798244476318 | Gym: 13.8881578445 | Batch: 0.523790359497 | Guide: 13.7575695515
 | Episode: 43 | Train: 0.802405595779 | Gym: 13.3398947716 | Batch: 0.525743246078 | Guide: 13.2229032516
 | Episode: 44 | Train: 0.796594381332 | Gym: 11.1634075642 | Batch: 0.519855260849 | Guide: 11.0329163074
 | Episode: 45 | Train: 0.791031599045 | Gym: 11.4350473881 | Batch: 0.513327360153 | Guide: 11.3090746403
