 | Episode: 0 | Train: 0.713071346283 | Gym: 8.82394886017 | Batch: 0.349753379822 | Guide: 8.5140402317
 | Episode: 1 | Train: 0.807047605515 | Gym: 8.23572063446 | Batch: 0.480008125305 | Guide: 8.07780599594
 | Episode: 2 | Train: 0.841422796249 | Gym: 9.88895511627 | Batch: 0.535667181015 | Guide: 9.73004293442
 | Episode: 3 | Train: 0.826170682907 | Gym: 9.06707286835 | Batch: 0.510738372803 | Guide: 8.92218732834
 | Episode: 4 | Train: 0.802533626556 | Gym: 9.24436903 | Batch: 0.500017642975 | Guide: 9.09303569794
 | Episode: 5 | Train: 0.793226003647 | Gym: 7.94418883324 | Batch: 0.494414806366 | Guide: 7.79764604568
 | Episode: 6 | Train: 0.799847126007 | Gym: 9.41745948792 | Batch: 0.498464107513 | Guide: 9.26872611046
 | Episode: 7 | Train: 0.802014350891 | Gym: 8.68138742447 | Batch: 0.495531320572 | Guide: 8.52286911011
 | Episode: 8 | Train: 0.806326389313 | Gym: 9.2388021946 | Batch: 0.507331848145 | Guide: 9.08174657822
 | Episode: 9 | Train: 0.791136741638 | Gym: 9.10034322739 | Batch: 0.505260467529 | Guide: 8.94810914993
 | Episode: 10 | Train: 0.798056840897 | Gym: 9.33519887924 | Batch: 0.505172252655 | Guide: 9.19771981239
 | Episode: 11 | Train: 0.802543640137 | Gym: 12.5362124443 | Batch: 0.522130727768 | Guide: 12.409235239
 | Episode: 12 | Train: 0.810172080994 | Gym: 8.72579240799 | Batch: 0.516611099243 | Guide: 8.57566308975
 | Episode: 13 | Train: 0.80840086937 | Gym: 10.933965683 | Batch: 0.533914804459 | Guide: 10.795904398
 | Episode: 14 | Train: 0.796352863312 | Gym: 9.08568167686 | Batch: 0.503708124161 | Guide: 8.93568634987
 | Episode: 15 | Train: 0.807074546814 | Gym: 8.74437713623 | Batch: 0.527333259583 | Guide: 8.59499931335
 | Episode: 16 | Train: 0.796358823776 | Gym: 8.13702487946 | Batch: 0.50930929184 | Guide: 7.99239301682
 | Episode: 17 | Train: 0.812743902206 | Gym: 9.72186207771 | Batch: 0.51767539978 | Guide: 9.56114077568
 | Episode: 18 | Train: 0.798278808594 | Gym: 8.62626814842 | Batch: 0.510092020035 | Guide: 8.47820544243
 | Episode: 19 | Train: 0.832397222519 | Gym: 11.7536022663 | Batch: 0.539966106415 | Guide: 11.5982220173
 | Episode: 20 | Train: 0.898764610291 | Gym: 8.87818241119 | Batch: 0.513763904572 | Guide: 8.72236728668
 | Episode: 21 | Train: 0.807153463364 | Gym: 10.2831032276 | Batch: 0.522235631943 | Guide: 10.140696764
 | Episode: 22 | Train: 0.805644750595 | Gym: 10.0331046581 | Batch: 0.525120973587 | Guide: 9.88663911819
 | Episode: 23 | Train: 0.797276258469 | Gym: 9.65061330795 | Batch: 0.510098457336 | Guide: 9.50745463371
 | Episode: 24 | Train: 0.806317806244 | Gym: 9.2286169529 | Batch: 0.51375079155 | Guide: 9.08709788322
 | Episode: 25 | Train: 0.789721250534 | Gym: 8.84139871597 | Batch: 0.503877878189 | Guide: 8.70028424263
 | Episode: 26 | Train: 0.79751086235 | Gym: 7.20012068748 | Batch: 0.497644901276 | Guide: 7.03971767426
 | Episode: 27 | Train: 0.794812917709 | Gym: 10.2227122784 | Batch: 0.511788845062 | Guide: 10.0851128101
 | Episode: 28 | Train: 0.798660039902 | Gym: 8.75562214851 | Batch: 0.518342018127 | Guide: 8.61332678795
 | Episode: 29 | Train: 0.803034305573 | Gym: 9.48000621796 | Batch: 0.51127910614 | Guide: 9.33908677101
 | Episode: 30 | Train: 0.812430858612 | Gym: 9.6972117424 | Batch: 0.521428823471 | Guide: 9.55886292458
 | Episode: 31 | Train: 0.810235261917 | Gym: 11.3940742016 | Batch: 0.528049468994 | Guide: 11.2470355034
 | Episode: 32 | Train: 0.797513723373 | Gym: 9.24478149414 | Batch: 0.508440256119 | Guide: 9.10418629646
 | Episode: 33 | Train: 0.805648088455 | Gym: 9.62353205681 | Batch: 0.518499851227 | Guide: 9.46769976616
 | Episode: 34 | Train: 0.794971466064 | Gym: 10.1803064346 | Batch: 0.509600639343 | Guide: 10.0470812321
 | Episode: 35 | Train: 0.794818639755 | Gym: 9.6633040905 | Batch: 0.513946771622 | Guide: 9.52406334877
 | Episode: 36 | Train: 0.832375049591 | Gym: 11.2845964432 | Batch: 0.534889936447 | Guide: 11.1463267803
 | Episode: 37 | Train: 0.798845529556 | Gym: 9.52883005142 | Batch: 0.512872219086 | Guide: 9.39341711998
 | Episode: 38 | Train: 0.81058716774 | Gym: 10.7602005005 | Batch: 0.528654813766 | Guide: 10.615694046
 | Episode: 39 | Train: 0.799736738205 | Gym: 10.2244186401 | Batch: 0.530081033707 | Guide: 10.0870554447
 | Episode: 40 | Train: 0.864632368088 | Gym: 9.10971736908 | Batch: 0.517137289047 | Guide: 8.96983504295
 | Episode: 41 | Train: 0.805580615997 | Gym: 7.70576906204 | Batch: 0.511640310287 | Guide: 7.54901981354
 | Episode: 42 | Train: 0.815457344055 | Gym: 9.39422893524 | Batch: 0.532842159271 | Guide: 9.2279856205
 | Episode: 43 | Train: 0.807528495789 | Gym: 8.97166776657 | Batch: 0.524711847305 | Guide: 8.83139061928
 | Episode: 44 | Train: 0.804912090302 | Gym: 9.88464570045 | Batch: 0.522579669952 | Guide: 9.75247836113
 | Episode: 45 | Train: 0.803285598755 | Gym: 8.41951942444 | Batch: 0.525068759918 | Guide: 8.27540493011
 | Episode: 46 | Train: 0.814218044281 | Gym: 10.8142893314 | Batch: 0.529680728912 | Guide: 10.6762173176
 | Episode: 47 | Train: 0.792546510696 | Gym: 9.67932319641 | Batch: 0.515693902969 | Guide: 9.5339858532
 | Episode: 48 | Train: 0.80337023735 | Gym: 8.52935242653 | Batch: 0.513723134995 | Guide: 8.3754029274
 | Episode: 49 | Train: 0.816586017609 | Gym: 8.80615758896 | Batch: 0.515814304352 | Guide: 8.64776468277
 | Episode: 50 | Train: 0.813071489334 | Gym: 10.2004330158 | Batch: 0.518776655197 | Guide: 10.0599534512
 | Episode: 51 | Train: 0.809974193573 | Gym: 9.95829200745 | Batch: 0.521408319473 | Guide: 9.80089092255
 | Episode: 52 | Train: 0.823539495468 | Gym: 7.54866814613 | Batch: 0.517103433609 | Guide: 7.39636731148
 | Episode: 53 | Train: 0.821994304657 | Gym: 8.89364385605 | Batch: 0.539989709854 | Guide: 8.73256850243
 | Episode: 54 | Train: 0.807896852493 | Gym: 8.05939340591 | Batch: 0.519916057587 | Guide: 7.90043282509
 | Episode: 55 | Train: 0.811699151993 | Gym: 7.29223394394 | Batch: 0.520843029022 | Guide: 7.12943887711
 | Episode: 56 | Train: 0.801464796066 | Gym: 9.30022668839 | Batch: 0.535639286041 | Guide: 9.15070605278
 | Episode: 57 | Train: 0.810507774353 | Gym: 8.98304629326 | Batch: 0.523050546646 | Guide: 8.83389043808
 | Episode: 58 | Train: 0.809404373169 | Gym: 9.27995610237 | Batch: 0.517836332321 | Guide: 9.12083315849
 | Episode: 59 | Train: 0.811108589172 | Gym: 10.1884346008 | Batch: 0.524946212769 | Guide: 10.0515370369
 | Episode: 60 | Train: 0.868086338043 | Gym: 8.45102572441 | Batch: 0.515725135803 | Guide: 8.28709983826
 | Episode: 61 | Train: 0.805736303329 | Gym: 9.1660349369 | Batch: 0.521252393723 | Guide: 9.02768588066
 | Episode: 62 | Train: 0.819085359573 | Gym: 8.4571454525 | Batch: 0.524280309677 | Guide: 8.31452083588
 | Episode: 63 | Train: 0.802466392517 | Gym: 7.4061498642 | Batch: 0.509028673172 | Guide: 7.25867342949
 | Episode: 64 | Train: 0.793899536133 | Gym: 8.29725217819 | Batch: 0.513827323914 | Guide: 8.13735365868
 | Episode: 65 | Train: 0.801567316055 | Gym: 10.0063502789 | Batch: 0.517982959747 | Guide: 9.8745777607
 | Episode: 66 | Train: 0.79648900032 | Gym: 8.09815120697 | Batch: 0.492888212204 | Guide: 7.95604515076
 | Episode: 67 | Train: 0.792750835419 | Gym: 8.30615711212 | Batch: 0.502435445786 | Guide: 8.15917205811
 | Episode: 68 | Train: 0.788698196411 | Gym: 7.1227118969 | Batch: 0.492520093918 | Guide: 6.97027277946
 | Episode: 69 | Train: 0.792098045349 | Gym: 8.80556607246 | Batch: 0.484022140503 | Guide: 8.66712164879
 | Episode: 70 | Train: 0.78787946701 | Gym: 8.48544716835 | Batch: 0.495742559433 | Guide: 8.33190321922
 | Episode: 71 | Train: 0.826747894287 | Gym: 10.3098163605 | Batch: 0.516889095306 | Guide: 10.1545007229
 | Episode: 72 | Train: 0.802059173584 | Gym: 9.28949260712 | Batch: 0.500865936279 | Guide: 9.15263652802
 | Episode: 73 | Train: 0.795702934265 | Gym: 9.54220914841 | Batch: 0.496018886566 | Guide: 9.41807699203
