| Reward: -2450 | Episode: 0 | Qmax: 1.0230624533384738 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 1 | Qmax: -2.134907447737665 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3170 | Episode: 2 | Qmax: -6.058601009186788 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3080 | Episode: 3 | Qmax: -8.024562223472786 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 4 | Qmax: -8.639811016207364 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 5 | Qmax: -12.025020565818902 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2990 | Episode: 6 | Qmax: -11.868176345250115 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 7 | Qmax: -13.341092392427838 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 8 | Qmax: -15.209710327225114 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3170 | Episode: 9 | Qmax: -17.114566702339516 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 10 | Qmax: -20.054371886516936 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 11 | Qmax: -21.27990772496516 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 12 | Qmax: -23.385395011710163 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 13 | Qmax: -24.91152329181307 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 14 | Qmax: -26.456707777090408 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2900 | Episode: 15 | Qmax: -28.083177556943653 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 16 | Qmax: -29.110279274945285 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 17 | Qmax: -30.6882004378429 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 18 | Qmax: -31.979696446327708 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 19 | Qmax: -32.43941946365126 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 20 | Qmax: -34.71103375880563 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 21 | Qmax: -36.26911700071402 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 22 | Qmax: -37.057196401471465 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 23 | Qmax: -38.310437015552615 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 24 | Qmax: -39.109025907276866 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 25 | Qmax: -38.69052282170435 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 26 | Qmax: -40.08958175314132 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3260 | Episode: 27 | Qmax: -42.029212357410834 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4799 | Episode: 28 | Qmax: -40.21284219847253 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 29 | Qmax: -40.90738000342594 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 30 | Qmax: -42.59656487757237 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 31 | Qmax: -45.18001585150484 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 32 | Qmax: -47.4722017834534 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2900 | Episode: 33 | Qmax: -47.851062688396205 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 34 | Qmax: -47.62430046311575 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 35 | Qmax: -48.77662174665748 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 36 | Qmax: -49.35529900555635 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 37 | Qmax: -49.526147487774566 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2990 | Episode: 38 | Qmax: -48.56232945044436 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 39 | Qmax: -50.67015738942515 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 40 | Qmax: -51.71291801797685 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 41 | Qmax: -52.43973738703895 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3350 | Episode: 42 | Qmax: -52.28144290099791 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 43 | Qmax: -53.56672231396239 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 44 | Qmax: -53.305432765328106 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 45 | Qmax: -54.58607998565214 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 46 | Qmax: -55.370589098139625 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 47 | Qmax: -56.870450561370085 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 48 | Qmax: -58.588325519657616 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 49 | Qmax: -59.687089201193956 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 50 | Qmax: -60.90977769401205 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3260 | Episode: 51 | Qmax: -60.86554946132641 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 52 | Qmax: -62.94240587320759 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 53 | Qmax: -63.45667502628499 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 54 | Qmax: -64.7509632014749 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 55 | Qmax: -66.15745220471867 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3080 | Episode: 56 | Qmax: -67.61414542270066 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2990 | Episode: 57 | Qmax: -69.36440599144403 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 58 | Qmax: -69.9698992398516 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 59 | Qmax: -70.55022123710594 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2900 | Episode: 60 | Qmax: -71.94262827580897 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2900 | Episode: 61 | Qmax: -73.87093146242688 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3170 | Episode: 62 | Qmax: -75.03586873576869 | Exploration: 0.2 | Step: 199 | LR:0.0015
