 | Episode: 0 | Train: 0.727557897568 | Gym: 12.4462606907 | Batch: 0.367847204208 | Guide: 12.1561331749
 | Episode: 1 | Train: 0.797584533691 | Gym: 12.2727937698 | Batch: 0.499232292175 | Guide: 12.1534228325
 | Episode: 2 | Train: 0.793935537338 | Gym: 12.6387281418 | Batch: 0.492847442627 | Guide: 12.5170733929
 | Episode: 3 | Train: 0.804985523224 | Gym: 13.7534818649 | Batch: 0.514806270599 | Guide: 13.6415371895
 | Episode: 4 | Train: 0.805597543716 | Gym: 11.9130988121 | Batch: 0.506337404251 | Guide: 11.7873837948
 | Episode: 5 | Train: 0.807454824448 | Gym: 11.1008150578 | Batch: 0.507864952087 | Guide: 10.9644212723
 | Episode: 6 | Train: 0.793742418289 | Gym: 13.1799545288 | Batch: 0.515984296799 | Guide: 13.0678362846
 | Episode: 7 | Train: 0.801290035248 | Gym: 12.3582799435 | Batch: 0.518728017807 | Guide: 12.2546000481
 | Episode: 8 | Train: 0.794979333878 | Gym: 12.5060386658 | Batch: 0.502167701721 | Guide: 12.3794648647
 | Episode: 9 | Train: 0.828237533569 | Gym: 12.5391056538 | Batch: 0.535137653351 | Guide: 12.4185700417
 | Episode: 10 | Train: 0.800364494324 | Gym: 12.2167112827 | Batch: 0.514563560486 | Guide: 12.0855123997
 | Episode: 11 | Train: 0.802270650864 | Gym: 13.0111637115 | Batch: 0.520020961761 | Guide: 12.8881344795
 | Episode: 12 | Train: 0.809688568115 | Gym: 11.4359109402 | Batch: 0.516717672348 | Guide: 11.3078420162
 | Episode: 13 | Train: 0.797454357147 | Gym: 14.2951540947 | Batch: 0.514288187027 | Guide: 14.1926341057
 | Episode: 14 | Train: 0.791592121124 | Gym: 12.4657552242 | Batch: 0.522394895554 | Guide: 12.3328149319
 | Episode: 15 | Train: 0.796637296677 | Gym: 10.9927506447 | Batch: 0.509773492813 | Guide: 10.8540472984
 | Episode: 16 | Train: 0.788948774338 | Gym: 14.1207435131 | Batch: 0.524225234985 | Guide: 14.007625103
 | Episode: 17 | Train: 0.789663076401 | Gym: 12.8136959076 | Batch: 0.510833978653 | Guide: 12.6897985935
 | Episode: 18 | Train: 0.786163330078 | Gym: 12.1380970478 | Batch: 0.515560150146 | Guide: 12.0153398514
 | Episode: 19 | Train: 0.795538187027 | Gym: 10.8994162083 | Batch: 0.497851371765 | Guide: 10.7714524269
 | Episode: 20 | Train: 0.85453414917 | Gym: 12.3742649555 | Batch: 0.505329847336 | Guide: 12.2614243031
 | Episode: 21 | Train: 0.787148714066 | Gym: 12.6130130291 | Batch: 0.507872343063 | Guide: 12.5044686794
 | Episode: 22 | Train: 0.81674861908 | Gym: 15.0002000332 | Batch: 0.531007051468 | Guide: 14.8891022205
 | Episode: 23 | Train: 0.793220996857 | Gym: 11.5382108688 | Batch: 0.498569488525 | Guide: 11.3931937218
 | Episode: 24 | Train: 0.801003217697 | Gym: 12.5889256001 | Batch: 0.5240213871 | Guide: 12.4660987854
 | Episode: 25 | Train: 0.791344642639 | Gym: 11.9943594933 | Batch: 0.514026641846 | Guide: 11.87210989
 | Episode: 26 | Train: 0.794601678848 | Gym: 12.2489016056 | Batch: 0.515517950058 | Guide: 12.1302111149
 | Episode: 27 | Train: 0.791723251343 | Gym: 13.4019398689 | Batch: 0.509372234344 | Guide: 13.2746100426
 | Episode: 28 | Train: 0.786244392395 | Gym: 12.5521667004 | Batch: 0.506640911102 | Guide: 12.4239115715
 | Episode: 29 | Train: 0.786125898361 | Gym: 12.1578183174 | Batch: 0.503611564636 | Guide: 12.0333826542
 | Episode: 30 | Train: 0.799278020859 | Gym: 12.6196703911 | Batch: 0.522510766983 | Guide: 12.4937772751
 | Episode: 31 | Train: 0.791618108749 | Gym: 12.9651298523 | Batch: 0.506839752197 | Guide: 12.8539931774
 | Episode: 32 | Train: 0.776527881622 | Gym: 13.0187227726 | Batch: 0.50457906723 | Guide: 12.9121677876
 | Episode: 33 | Train: 0.797724962234 | Gym: 13.5446195602 | Batch: 0.510657548904 | Guide: 13.4248828888
 | Episode: 34 | Train: 0.7898209095 | Gym: 13.4422650337 | Batch: 0.501694440842 | Guide: 13.3246922493
 | Episode: 35 | Train: 0.809638261795 | Gym: 12.4725544453 | Batch: 0.524327993393 | Guide: 12.3442862034
 | Episode: 36 | Train: 0.785541772842 | Gym: 13.2603294849 | Batch: 0.502555370331 | Guide: 13.137460947
 | Episode: 37 | Train: 0.793701410294 | Gym: 13.6032092571 | Batch: 0.510407209396 | Guide: 13.4866502285
 | Episode: 38 | Train: 0.783383369446 | Gym: 12.2140786648 | Batch: 0.506138563156 | Guide: 12.0990004539
 | Episode: 39 | Train: 0.791105985641 | Gym: 12.8636260033 | Batch: 0.506328821182 | Guide: 12.7403087616
 | Episode: 40 | Train: 0.850475549698 | Gym: 13.311163187 | Batch: 0.512547254562 | Guide: 13.191177845
 | Episode: 41 | Train: 0.796508073807 | Gym: 13.4849596024 | Batch: 0.508210897446 | Guide: 13.362426281
 | Episode: 42 | Train: 0.786571979523 | Gym: 14.3118321896 | Batch: 0.502890348434 | Guide: 14.1851511002
 | Episode: 43 | Train: 0.801505565643 | Gym: 12.2957420349 | Batch: 0.509597301483 | Guide: 12.1786148548
 | Episode: 44 | Train: 0.792948961258 | Gym: 11.0168704987 | Batch: 0.506677389145 | Guide: 10.8849768639
 | Episode: 45 | Train: 0.795315742493 | Gym: 10.4903202057 | Batch: 0.503711223602 | Guide: 10.3555450439
 | Episode: 46 | Train: 0.791948080063 | Gym: 12.8326499462 | Batch: 0.508383512497 | Guide: 12.698435545
 | Episode: 47 | Train: 0.794412612915 | Gym: 12.9700336456 | Batch: 0.510017633438 | Guide: 12.8548967838
 | Episode: 48 | Train: 0.803961753845 | Gym: 14.4062979221 | Batch: 0.518295288086 | Guide: 14.2814259529
 | Episode: 49 | Train: 0.788519144058 | Gym: 10.9693090916 | Batch: 0.495842933655 | Guide: 10.8436338902
 | Episode: 50 | Train: 0.77886390686 | Gym: 12.3671984673 | Batch: 0.501008987427 | Guide: 12.2360203266
 | Episode: 51 | Train: 0.788800954819 | Gym: 12.8481800556 | Batch: 0.502770900726 | Guide: 12.7233035564
 | Episode: 52 | Train: 0.797549247742 | Gym: 13.0965797901 | Batch: 0.515655994415 | Guide: 12.9936056137
 | Episode: 53 | Train: 0.772995710373 | Gym: 10.8354556561 | Batch: 0.506017446518 | Guide: 10.7125651836
